cgpa,package
6.89,3.26
5.12,1.98
7.82,3.25
7.42,3.67
6.94,3.57
7.89,2.99
6.73,2.6
6.75,2.48
6.09,2.31
8.31,3.51
5.32,1.86
5.48,2.01
6.15,2.44
7.01,3.12
7.35,3.58
8.02,4.01
8.45,4.55
6.62,2.72
6.28,2.51
7.67,3.89
5.91,2.1
6.84,2.95
7.21,3.33
7.58,3.76
8.11,4.2
8.63,4.78
5.76,2.05
6.47,2.68
6.98,3.05
7.74,3.92
5.25,1.8
5.67,2.0
6.33,2.55
6.59,2.74
7.12,3.28
7.49,3.63
7.86,4.02
8.19,4.31
8.54,4.7
5.88,2.12
6.04,2.3
6.71,2.82
7.05,3.15
7.39,3.55
7.91,4.08
8.27,4.4
8.76,4.95
5.41,1.92
5.95,2.18
6.22,2.47
6.68,2.78
7.16,3.34
7.52,3.69
7.98,4.12
8.34,4.48
8.91,5.1
5.19,1.75
5.63,1.98
6.11,2.35
6.44,2.62
6.87,2.93
7.23,3.38
7.61,3.8
8.05,4.22
8.49,4.65
9.01,5.3
7.1,2.76
7.37,3.96
6.85,2.46
6.03,2.35
7.53,3.93
7.79,2.67
6.88,2.38
7.86,4.05
5.0,2.28
8.03,3.7
8.01,4.09
5.15,2.11
8.0,4.22
6.32,2.88
6.01,2.22
6.42,2.95
5.56,2.22
6.53,3.13
5.89,2.09
6.13,2.24
6.71,2.81
6.55,3.08
7.64,3.48
7.29,3.45
7.32,2.82
8.78,5.12
7.41,3.94
6.76,2.55
8.45,5.27
8.32,4.27
7.85,2.61
6.64,2.68
6.8,2.93
6.08,2.6
8.62,4.88
6.78,3.11
7.32,3.38
6.31,2.45
6.93,2.7
5.9,2.16
7.54,3.88
5.06,2.03
6.62,2.84
7.2,3.32
6.98,2.26
8.61,5.0
6.93,3.13
7.37,3.96
6.51,2.31
7.41,3.55
5.2,2.08
7.86,2.89
7.97,3.81
7.34,3.4
7.99,4.25
7.68,3.46
6.87,3.07
7.11,3.38
6.83,2.89
7.31,3.22
6.95,2.89
5.33,1.98
7.51,3.84
7.26,3.32
5.65,2.1
7.57,3.89
7.75,3.97
8.76,4.77
6.35,2.51
5.84,2.32
6.93,3.0
7.84,3.66
7.68,3.78
8.36,4.72
6.15,2.13
6.87,3.49
6.72,2.31
7.91,3.64
5.19,1.97
6.75,2.48
7.15,3.85
7.0,2.87
6.11,2.58
6.98,3.85
6.31,2.16
6.53,2.45
6.74,2.38
5.49,1.61
6.55,3.08
6.51,2.47
5.33,1.81
7.01,2.8
6.99,3.02
7.87,4.39
7.55,3.63
7.16,3.57
8.44,4.91
8.83,4.7
7.85,3.86
7.01,3.75
7.14,3.43
6.87,2.23
5.41,1.96
6.04,2.37
7.2,3.44
6.83,2.76
6.57,2.57
7.33,4.03
7.07,3.36
7.2,3.91
7.45,3.64
7.42,3.04
7.15,2.96
7.06,2.89
7.62,4.27
6.32,2.48
5.59,2.2
5.9,1.88
6.34,2.72
9.0,5.54
6.33,3.04
8.08,4.24
6.95,3.38
5.28,1.77
7.86,2.57
6.51,2.45
6.4,2.74
7.42,3.37
7.67,4.09
7.15,3.5
7.1,3.72
7.12,3.5
5.82,2.11
7.26,3.57
7.69,3.5
5.72,1.92
5.94,2.23
7.16,3.36
7.68,3.9
6.92,3.03
7.28,3.39
7.45,4.07
5.91,2.26
5.55,2.12
7.09,3.38
7.22,3.14
5.53,1.98
6.92,3.42
5.25,1.99
8.64,4.36
5.1,2.41
7.92,3.27
