Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8
abrasive cleaner,other vegetables,chocolate,,,,,
dishes,ready soups,cream cheese,bottled water,meat spreads,long life bakery product,UHT-milk,bottled beer
curd,chocolate,whole milk,other vegetables,pip fruit,flour,citrus fruit,
flour,tropical fruit,,,,,,
cereals,long life bakery product,yogurt,citrus fruit,,,,
UHT-milk,coffee,cream cheese,butter,long life bakery product,rice,potted plants,
coffee,potted plants,abrasive cleaner,rolls/buns,,,,
pip fruit,other vegetables,meat spreads,,,,,
yogurt,coffee,butter,dishes,margarine,liquor (appetizer),condensed milk,ready soups
rice,cereals,rolls/buns,,,,,
rolls/buns,other vegetables,UHT-milk,tropical fruit,,,,
whole milk,pip fruit,,,,,,
condensed milk,bottled water,,,,,,
abrasive cleaner,chocolate,meat spreads,tropical fruit,cereals,,,
pip fruit,yogurt,whole milk,potted plants,long life bakery product,citrus fruit,condensed milk,
liquor (appetizer),coffee,,,,,,
flour,curd,citrus fruit,bottled beer,dishes,chocolate,pip fruit,butter
dishes,rice,tropical fruit,cereals,ready soups,potted plants,whole milk,abrasive cleaner
cereals,cream cheese,rice,yogurt,tropical fruit,,,
citrus fruit,rolls/buns,,,,,,
cream cheese,bottled beer,dishes,pip fruit,long life bakery product,,,
liquor (appetizer),curd,pip fruit,condensed milk,whole milk,abrasive cleaner,tropical fruit,meat spreads
condensed milk,curd,ready soups,liquor (appetizer),bottled water,other vegetables,butter,
tropical fruit,margarine,whole milk,,,,,
cereals,ready soups,bottled water,tropical fruit,citrus fruit,,,
chocolate,rice,,,,,,
chocolate,curd,margarine,cereals,ready soups,rice,bottled water,yogurt
liquor (appetizer),dishes,cream cheese,condensed milk,abrasive cleaner,tropical fruit,potted plants,
meat spreads,potted plants,yogurt,bottled beer,long life bakery product,,,
citrus fruit,rice,dishes,,,,,
flour,rolls/buns,citrus fruit,other vegetables,rice,whole milk,,
dishes,coffee,rolls/buns,other vegetables,citrus fruit,long life bakery product,rice,
cereals,ready soups,other vegetables,rice,tropical fruit,rolls/buns,,
coffee,potted plants,citrus fruit,butter,condensed milk,liquor (appetizer),bottled beer,UHT-milk
pip fruit,rice,,,,,,
bottled water,whole milk,flour,,,,,
margarine,abrasive cleaner,condensed milk,UHT-milk,,,,
flour,ready soups,UHT-milk,meat spreads,,,,
meat spreads,flour,chocolate,,,,,
UHT-milk,chocolate,rolls/buns,butter,bottled water,rice,long life bakery product,liquor (appetizer)
pip fruit,curd,cream cheese,long life bakery product,meat spreads,liquor (appetizer),,
cereals,bottled beer,condensed milk,potted plants,other vegetables,,,
abrasive cleaner,citrus fruit,other vegetables,curd,,,,
condensed milk,chocolate,abrasive cleaner,UHT-milk,,,,
bottled water,cereals,margarine,butter,dishes,pip fruit,citrus fruit,
yogurt,other vegetables,,,,,,
citrus fruit,long life bakery product,bottled beer,rice,potted plants,yogurt,chocolate,UHT-milk
butter,curd,liquor (appetizer),UHT-milk,flour,cereals,,
tropical fruit,dishes,UHT-milk,,,,,
long life bakery product,dishes,butter,margarine,ready soups,meat spreads,,
UHT-milk,flour,curd,dishes,butter,liquor (appetizer),,
other vegetables,long life bakery product,,,,,,
abrasive cleaner,cereals,rice,,,,,
bottled beer,potted plants,pip fruit,abrasive cleaner,meat spreads,,,
citrus fruit,coffee,curd,abrasive cleaner,cereals,,,
citrus fruit,pip fruit,long life bakery product,other vegetables,rolls/buns,,,
long life bakery product,tropical fruit,flour,chocolate,,,,
yogurt,cream cheese,long life bakery product,,,,,
pip fruit,meat spreads,flour,other vegetables,rolls/buns,dishes,tropical fruit,
bottled water,chocolate,cream cheese,margarine,meat spreads,,,
ready soups,abrasive cleaner,citrus fruit,whole milk,chocolate,tropical fruit,yogurt,margarine
ready soups,rolls/buns,abrasive cleaner,,,,,
curd,pip fruit,bottled beer,abrasive cleaner,meat spreads,UHT-milk,cream cheese,
bottled water,whole milk,rice,potted plants,citrus fruit,,,
rice,curd,whole milk,UHT-milk,cream cheese,,,
dishes,margarine,,,,,,
long life bakery product,flour,,,,,,
ready soups,flour,dishes,pip fruit,,,,
chocolate,margarine,butter,abrasive cleaner,meat spreads,cereals,whole milk,tropical fruit
margarine,other vegetables,cereals,whole milk,bottled beer,cream cheese,pip fruit,butter
rolls/buns,cream cheese,condensed milk,liquor (appetizer),rice,potted plants,,
rice,whole milk,dishes,UHT-milk,long life bakery product,other vegetables,flour,
chocolate,rice,butter,other vegetables,liquor (appetizer),bottled beer,,
UHT-milk,bottled water,meat spreads,cereals,,,,
rolls/buns,citrus fruit,,,,,,
yogurt,bottled water,dishes,ready soups,whole milk,,,
potted plants,ready soups,,,,,,
rolls/buns,citrus fruit,dishes,yogurt,long life bakery product,abrasive cleaner,pip fruit,
rice,long life bakery product,,,,,,
butter,tropical fruit,pip fruit,citrus fruit,bottled beer,cereals,,
condensed milk,potted plants,,,,,,
pip fruit,citrus fruit,,,,,,
flour,bottled water,meat spreads,long life bakery product,yogurt,UHT-milk,,
meat spreads,curd,potted plants,flour,bottled water,chocolate,tropical fruit,cream cheese
other vegetables,long life bakery product,tropical fruit,,,,,
cereals,rice,margarine,,,,,
potted plants,yogurt,flour,,,,,
rice,other vegetables,margarine,condensed milk,abrasive cleaner,,,
rolls/buns,coffee,rice,margarine,yogurt,,,
margarine,potted plants,other vegetables,meat spreads,chocolate,cereals,abrasive cleaner,liquor (appetizer)
coffee,rolls/buns,,,,,,
cream cheese,flour,,,,,,
dishes,flour,meat spreads,abrasive cleaner,liquor (appetizer),,,
liquor (appetizer),other vegetables,yogurt,bottled water,citrus fruit,,,
tropical fruit,rolls/buns,abrasive cleaner,,,,,
curd,ready soups,cereals,butter,,,,
chocolate,dishes,curd,meat spreads,rolls/buns,margarine,,
ready soups,chocolate,margarine,UHT-milk,whole milk,bottled water,dishes,
meat spreads,curd,coffee,rice,dishes,bottled water,,
tropical fruit,flour,,,,,,
potted plants,whole milk,liquor (appetizer),bottled water,yogurt,margarine,abrasive cleaner,rolls/buns
meat spreads,margarine,cereals,UHT-milk,coffee,bottled water,condensed milk,whole milk
dishes,coffee,ready soups,,,,,
rice,condensed milk,curd,cream cheese,other vegetables,yogurt,ready soups,whole milk
bottled beer,ready soups,flour,,,,,
condensed milk,chocolate,potted plants,curd,rice,cereals,,
ready soups,whole milk,dishes,cream cheese,curd,UHT-milk,meat spreads,
yogurt,liquor (appetizer),ready soups,margarine,potted plants,,,
potted plants,margarine,,,,,,
rice,cream cheese,pip fruit,dishes,abrasive cleaner,citrus fruit,butter,
other vegetables,margarine,citrus fruit,,,,,
citrus fruit,meat spreads,UHT-milk,abrasive cleaner,ready soups,chocolate,margarine,
chocolate,meat spreads,liquor (appetizer),cream cheese,bottled beer,curd,citrus fruit,ready soups
flour,meat spreads,,,,,,
bottled beer,butter,rice,,,,,
bottled water,cereals,abrasive cleaner,,,,,
butter,coffee,rolls/buns,,,,,
UHT-milk,bottled water,bottled beer,cereals,,,,
yogurt,flour,,,,,,
cereals,whole milk,bottled beer,ready soups,tropical fruit,,,
condensed milk,butter,tropical fruit,abrasive cleaner,cream cheese,bottled water,chocolate,
other vegetables,cream cheese,cereals,flour,rice,long life bakery product,butter,
abrasive cleaner,bottled water,,,,,,
chocolate,flour,,,,,,
tropical fruit,pip fruit,condensed milk,butter,,,,
UHT-milk,curd,cereals,bottled beer,,,,
flour,coffee,whole milk,margarine,,,,
margarine,potted plants,ready soups,other vegetables,cream cheese,rice,,
long life bakery product,cereals,flour,abrasive cleaner,,,,
ready soups,tropical fruit,rice,pip fruit,citrus fruit,curd,butter,
flour,UHT-milk,dishes,butter,rice,,,
margarine,long life bakery product,UHT-milk,curd,other vegetables,,,
whole milk,bottled water,cream cheese,cereals,ready soups,,,
margarine,citrus fruit,curd,rolls/buns,long life bakery product,,,
butter,pip fruit,liquor (appetizer),yogurt,cream cheese,abrasive cleaner,bottled beer,chocolate
tropical fruit,bottled water,coffee,liquor (appetizer),potted plants,cereals,dishes,rice
dishes,curd,cereals,,,,,
flour,cream cheese,bottled water,pip fruit,,,,
curd,ready soups,potted plants,UHT-milk,bottled water,meat spreads,other vegetables,bottled beer
bottled beer,chocolate,curd,,,,,
liquor (appetizer),bottled beer,margarine,bottled water,long life bakery product,,,
butter,rolls/buns,cereals,bottled water,long life bakery product,abrasive cleaner,,
condensed milk,flour,rice,ready soups,curd,margarine,potted plants,
meat spreads,rice,cream cheese,curd,bottled beer,,,
bottled beer,potted plants,tropical fruit,yogurt,bottled water,rolls/buns,,
liquor (appetizer),condensed milk,curd,chocolate,yogurt,margarine,long life bakery product,bottled beer
citrus fruit,yogurt,margarine,pip fruit,whole milk,condensed milk,,
tropical fruit,yogurt,abrasive cleaner,other vegetables,meat spreads,dishes,,
coffee,other vegetables,rice,dishes,UHT-milk,butter,meat spreads,bottled beer
potted plants,other vegetables,chocolate,whole milk,flour,,,
cream cheese,butter,margarine,rolls/buns,whole milk,,,
coffee,rolls/buns,cereals,citrus fruit,dishes,yogurt,,
tropical fruit,whole milk,,,,,,
yogurt,flour,bottled beer,curd,cereals,,,
butter,tropical fruit,abrasive cleaner,bottled water,cream cheese,other vegetables,,
meat spreads,ready soups,,,,,,
dishes,margarine,meat spreads,cereals,,,,
flour,meat spreads,abrasive cleaner,tropical fruit,butter,liquor (appetizer),UHT-milk,
bottled beer,rolls/buns,meat spreads,whole milk,cream cheese,,,
meat spreads,abrasive cleaner,liquor (appetizer),UHT-milk,,,,
flour,margarine,UHT-milk,meat spreads,tropical fruit,cream cheese,cereals,coffee
UHT-milk,bottled beer,condensed milk,rolls/buns,coffee,other vegetables,liquor (appetizer),ready soups
dishes,yogurt,condensed milk,long life bakery product,,,,
liquor (appetizer),dishes,bottled water,,,,,
rolls/buns,citrus fruit,coffee,chocolate,potted plants,liquor (appetizer),,
meat spreads,UHT-milk,,,,,,
other vegetables,bottled water,UHT-milk,meat spreads,whole milk,,,
flour,tropical fruit,pip fruit,margarine,long life bakery product,,,
yogurt,flour,tropical fruit,bottled beer,abrasive cleaner,potted plants,,
whole milk,potted plants,,,,,,
whole milk,meat spreads,long life bakery product,bottled beer,chocolate,,,
chocolate,other vegetables,cereals,butter,long life bakery product,,,
citrus fruit,margarine,liquor (appetizer),chocolate,ready soups,dishes,bottled beer,
cereals,rolls/buns,condensed milk,flour,cream cheese,potted plants,abrasive cleaner,margarine
rice,citrus fruit,tropical fruit,cereals,pip fruit,bottled beer,curd,
bottled water,UHT-milk,,,,,,
bottled water,curd,ready soups,cream cheese,yogurt,,,
rice,UHT-milk,other vegetables,,,,,
coffee,butter,rice,dishes,flour,other vegetables,,
cream cheese,potted plants,,,,,,
whole milk,bottled water,citrus fruit,chocolate,,,,
chocolate,meat spreads,curd,tropical fruit,UHT-milk,rice,bottled beer,
chocolate,coffee,butter,bottled water,,,,
yogurt,long life bakery product,bottled water,pip fruit,rolls/buns,chocolate,butter,citrus fruit
dishes,cereals,whole milk,bottled water,,,,
ready soups,rolls/buns,citrus fruit,whole milk,cream cheese,chocolate,bottled water,condensed milk
liquor (appetizer),curd,cereals,abrasive cleaner,bottled water,citrus fruit,,
margarine,cereals,flour,UHT-milk,,,,
rice,potted plants,tropical fruit,bottled water,,,,
condensed milk,rolls/buns,bottled beer,butter,dishes,long life bakery product,cereals,
margarine,bottled water,UHT-milk,bottled beer,whole milk,tropical fruit,,
coffee,whole milk,margarine,bottled water,bottled beer,flour,yogurt,butter
citrus fruit,margarine,meat spreads,pip fruit,ready soups,abrasive cleaner,flour,potted plants
bottled beer,condensed milk,pip fruit,curd,other vegetables,liquor (appetizer),,
liquor (appetizer),abrasive cleaner,pip fruit,long life bakery product,condensed milk,,,
rolls/buns,condensed milk,citrus fruit,cereals,UHT-milk,abrasive cleaner,curd,long life bakery product
bottled water,dishes,rolls/buns,meat spreads,butter,liquor (appetizer),,
rolls/buns,flour,potted plants,whole milk,,,,
bottled water,chocolate,bottled beer,whole milk,ready soups,butter,yogurt,
whole milk,potted plants,butter,curd,bottled water,condensed milk,,
margarine,ready soups,abrasive cleaner,cream cheese,,,,
UHT-milk,margarine,bottled beer,rice,yogurt,,,
UHT-milk,bottled beer,other vegetables,pip fruit,rolls/buns,cream cheese,cereals,coffee
bottled water,cereals,,,,,,
other vegetables,rolls/buns,meat spreads,chocolate,bottled water,ready soups,,
citrus fruit,butter,cereals,meat spreads,cream cheese,abrasive cleaner,condensed milk,bottled beer
yogurt,potted plants,whole milk,citrus fruit,flour,abrasive cleaner,,
flour,pip fruit,rice,,,,,
long life bakery product,rice,liquor (appetizer),potted plants,coffee,flour,abrasive cleaner,dishes
ready soups,flour,pip fruit,yogurt,bottled beer,whole milk,curd,rolls/buns
bottled water,rolls/buns,cereals,abrasive cleaner,,,,
abrasive cleaner,condensed milk,rolls/buns,,,,,
other vegetables,bottled beer,flour,long life bakery product,bottled water,ready soups,,
rice,whole milk,,,,,,
margarine,flour,pip fruit,rolls/buns,rice,other vegetables,,
meat spreads,cream cheese,margarine,rolls/buns,dishes,ready soups,,
butter,chocolate,tropical fruit,pip fruit,bottled beer,flour,coffee,abrasive cleaner
abrasive cleaner,yogurt,other vegetables,long life bakery product,tropical fruit,butter,,
rice,abrasive cleaner,meat spreads,flour,other vegetables,,,
cereals,meat spreads,liquor (appetizer),abrasive cleaner,long life bakery product,,,
rolls/buns,bottled water,liquor (appetizer),,,,,
dishes,bottled water,,,,,,
bottled beer,rice,,,,,,
yogurt,rice,butter,meat spreads,,,,
rolls/buns,yogurt,,,,,,
tropical fruit,chocolate,curd,UHT-milk,abrasive cleaner,,,
potted plants,flour,other vegetables,,,,,
UHT-milk,potted plants,coffee,,,,,
yogurt,flour,chocolate,bottled beer,condensed milk,tropical fruit,rolls/buns,
potted plants,UHT-milk,,,,,,
bottled water,bottled beer,whole milk,,,,,
cream cheese,rice,yogurt,,,,,
meat spreads,tropical fruit,citrus fruit,,,,,
citrus fruit,rice,,,,,,
condensed milk,cereals,cream cheese,,,,,
butter,whole milk,margarine,cereals,abrasive cleaner,meat spreads,coffee,
long life bakery product,coffee,curd,bottled water,abrasive cleaner,,,
tropical fruit,meat spreads,cereals,rolls/buns,,,,
whole milk,UHT-milk,yogurt,tropical fruit,cereals,abrasive cleaner,bottled beer,margarine
liquor (appetizer),curd,meat spreads,margarine,whole milk,long life bakery product,,
yogurt,tropical fruit,rolls/buns,ready soups,,,,
potted plants,curd,rolls/buns,,,,,
curd,abrasive cleaner,,,,,,
pip fruit,whole milk,abrasive cleaner,condensed milk,meat spreads,,,
rolls/buns,flour,UHT-milk,bottled beer,meat spreads,other vegetables,,
abrasive cleaner,cream cheese,,,,,,
citrus fruit,long life bakery product,chocolate,cereals,,,,
butter,condensed milk,UHT-milk,yogurt,margarine,cream cheese,tropical fruit,
meat spreads,citrus fruit,whole milk,coffee,chocolate,bottled water,,
long life bakery product,rice,tropical fruit,bottled beer,other vegetables,,,
curd,cream cheese,dishes,coffee,condensed milk,abrasive cleaner,UHT-milk,
flour,rice,meat spreads,,,,,
pip fruit,whole milk,long life bakery product,tropical fruit,rice,meat spreads,liquor (appetizer),coffee
citrus fruit,cream cheese,cereals,other vegetables,curd,UHT-milk,,
rice,butter,UHT-milk,meat spreads,bottled beer,abrasive cleaner,liquor (appetizer),
abrasive cleaner,long life bakery product,,,,,,
bottled beer,flour,condensed milk,liquor (appetizer),cream cheese,abrasive cleaner,curd,
chocolate,UHT-milk,coffee,meat spreads,tropical fruit,bottled beer,,
cream cheese,rolls/buns,flour,liquor (appetizer),cereals,tropical fruit,bottled water,condensed milk
chocolate,dishes,curd,condensed milk,,,,
whole milk,potted plants,liquor (appetizer),abrasive cleaner,yogurt,butter,,
margarine,dishes,potted plants,liquor (appetizer),,,,
butter,coffee,dishes,margarine,potted plants,whole milk,rice,cereals
bottled beer,rolls/buns,long life bakery product,margarine,,,,
coffee,rice,butter,bottled beer,tropical fruit,margarine,abrasive cleaner,cereals
butter,ready soups,,,,,,
flour,chocolate,yogurt,cereals,margarine,abrasive cleaner,other vegetables,condensed milk
coffee,rolls/buns,,,,,,
cream cheese,ready soups,butter,chocolate,margarine,whole milk,abrasive cleaner,condensed milk
curd,condensed milk,other vegetables,chocolate,bottled beer,rolls/buns,whole milk,tropical fruit
butter,dishes,bottled beer,pip fruit,curd,citrus fruit,whole milk,condensed milk
cream cheese,bottled water,whole milk,condensed milk,tropical fruit,potted plants,meat spreads,
citrus fruit,margarine,,,,,,
rice,chocolate,coffee,tropical fruit,other vegetables,meat spreads,abrasive cleaner,condensed milk
meat spreads,long life bakery product,,,,,,
chocolate,condensed milk,abrasive cleaner,whole milk,yogurt,coffee,UHT-milk,long life bakery product
citrus fruit,bottled water,curd,cereals,margarine,potted plants,long life bakery product,whole milk
potted plants,UHT-milk,meat spreads,rolls/buns,ready soups,other vegetables,tropical fruit,margarine
abrasive cleaner,curd,potted plants,rice,condensed milk,other vegetables,margarine,
margarine,abrasive cleaner,chocolate,flour,UHT-milk,,,
flour,tropical fruit,condensed milk,coffee,bottled beer,dishes,,
rice,margarine,cream cheese,potted plants,liquor (appetizer),rolls/buns,,
flour,tropical fruit,potted plants,bottled beer,citrus fruit,other vegetables,,
chocolate,meat spreads,margarine,cereals,rice,UHT-milk,,
tropical fruit,butter,whole milk,cereals,long life bakery product,rice,,
chocolate,bottled beer,flour,,,,,
ready soups,meat spreads,,,,,,
margarine,dishes,tropical fruit,,,,,
bottled water,abrasive cleaner,rolls/buns,,,,,
cereals,yogurt,whole milk,,,,,
rolls/buns,bottled water,rice,ready soups,citrus fruit,other vegetables,whole milk,
