Area_sqft, Bedrooms, Bathrooms, Floors, YearBuilt, Parking, Distance_City_km, Crime_Rate, School_Rating, Hospital_Distance_km, Market_Trend, Water_Supply, Electricity, HousePrice
      675,        5,         3,      2,      2008,       0,             20.5,        6.1,           5.9,                 12.6,         1.16,            1,           0,    3717905
     1720,        5,         4,      2,      1999,       2,             21.6,        9.0,           9.0,                  3.9,         1.14,            1,           0,    8623941
     1037,        5,         4,      3,      1999,       1,             20.0,        6.4,           8.4,                 12.2,         0.89,            1,           1,    4125999
     3050,        3,         4,      1,      2003,       1,              5.3,        4.0,           6.5,                  7.7,         0.94,            1,           1,   14196859
     2103,        2,         2,      2,      2011,       1,             29.2,        9.9,           4.6,                  2.8,         1.03,            0,           0,    3751270
      711,        4,         3,      1,      1991,       2,             28.7,        2.0,           8.5,                 11.1,         1.12,            0,           0,    7089695
     1419,        1,         4,      1,      2021,       2,             13.3,        1.5,           8.8,                 12.2,         1.18,            1,           1,    3285838
     2139,        5,         4,      3,      2004,       0,             18.2,        7.6,           8.8,                 10.6,         1.2 ,            1,           1,    4486326
     1872,        1,         2,      2,      2006,       0,              2.1,        4.3,           7.5,                 14.5,         0.91,            1,           0,    4956984
     3757,        5,         1,      2,      2015,       0,             29.7,        4.3,           1.9,                  4.2,         0.88,            1,           0,    6010257
     3970,        4,         1,      2,      2023,       1,             24.7,        8.9,           3.7,                  3.9,         1.0 ,            0,           1,    8694864
     3083,        2,         4,      1,      2011,       2,             19.5,        3.9,           5.4,                  2.6,         1.02,            1,           1,    4905520
      845,        4,         2,      1,      2009,       2,             23.1,        9.0,           5.5,                  8.3,         1.06,            1,           1,   12173116
      866,        4,         1,      2,      2008,       0,              6.5,        6.8,           8.5,                  6.3,         0.84,            0,           0,   12953108
     3102,        4,         3,      3,      1990,       0,              9.9,        4.0,           3.1,                  5.7,         1.06,            1,           0,   14630716
     3278,        2,         3,      1,      2003,       1,              8.1,        1.5,           7.0,                  7.2,         1.17,            0,           1,    4851780
     1404,        4,         2,      2,      2000,       0,             18.3,        3.2,           4.4,                  4.5,         1.17,            1,           0,    4883886
     3739,        4,         3,      2,      2017,       0,              3.7,        9.7,           8.0,                  0.6,         1.18,            0,           1,    6103969
     2522,        5,         2,      2,      2018,       2,             27.0,        4.6,           2.8,                  7.3,         1.17,            0,           0,    7732775
     1592,        4,         1,      3,      1998,       1,             14.4,        2.4,           5.3,                  4.5,         1.18,            0,           0,    3028000
     1956,        2,         4,      1,      2023,       2,             13.9,        3.7,           1.9,                  7.0,         0.82,            1,           0,   10167448
     2419,        4,         4,      1,      2015,       0,              4.0,        9.1,           2.9,                 14.0,         1.17,            0,           1,   14583286
      891,        2,         2,      2,      2018,       1,             20.9,        2.5,           9.4,                  3.1,         0.91,            1,           1,    7117386
     3488,        2,         3,      1,      1997,       2,             24.7,        8.0,           3.8,                  9.7,         0.93,            1,           0,   11289296
     1599,        2,         4,      1,      2005,       0,             19.3,        2.2,           9.0,                  9.8,         0.98,            1,           1,    4562025
     3371,        3,         2,      2,      1990,       0,              8.0,        9.7,           5.7,                  4.6,         1.18,            1,           1,    6052000
     2798,        4,         1,      1,      2008,       0,             23.8,        5.8,           1.4,                  7.3,         1.04,            1,           0,    4389943
     3578,        3,         1,      2,      1990,       0,              5.2,        1.4,           8.1,                 14.6,         0.94,            0,           0,    5259571
     3616,        3,         2,      3,      1999,       1,             25.0,        9.4,           1.5,                  5.5,         0.95,            1,           1,   10087546
     1849,        4,         2,      2,      1995,       2,             17.8,        4.2,           8.4,                 10.8,         1.16,            1,           0,    6775123
     1676,        4,         2,      3,      2011,       0,              9.4,        7.6,           1.1,                 12.7,         1.13,            0,           1,    7287250
      683,        3,         3,      3,      2006,       1,             15.9,        5.7,           7.1,                  5.7,         0.86,            1,           1,    4659820
     3497,        1,         1,      1,      2001,       2,             19.2,        1.8,           2.5,                 14.9,         0.9 ,            1,           1,    6857106
     3684,        5,         1,      1,      2022,       1,              8.5,        2.0,           4.1,                  9.6,         0.95,            1,           1,   12229753
     1263,        4,         3,      2,      1995,       2,             25.6,        2.3,           9.6,                  7.8,         0.89,            0,           1,    6253248
     3761,        2,         3,      2,      2018,       2,             13.2,        2.5,           5.4,                 10.9,         1.03,            1,           1,   12698297
      790,        2,         3,      1,      2019,       1,             26.9,        1.5,           6.9,                  6.6,         0.89,            0,           0,   14445772
      812,        5,         1,      2,      2021,       1,             25.2,        1.4,           7.7,                 10.8,         1.03,            0,           1,    6637525
     2749,        4,         3,      2,      1997,       1,              3.9,        9.5,           2.0,                  4.5,         1.17,            0,           1,    9673168
     1986,        5,         1,      2,      2018,       2,             19.7,        1.8,           8.5,                 13.9,         1.14,            0,           1,   10484891
     3098,        5,         3,      1,      2004,       1,             10.0,        5.6,           9.2,                  8.4,         0.84,            0,           0,    3905148
     1272,        5,         4,      1,      2003,       0,             22.9,        2.1,           2.4,                  4.0,         0.88,            1,           0,    8636562
     3042,        4,         3,      3,      2009,       2,             16.7,        2.9,           5.9,                  6.8,         0.97,            0,           1,   14085071
     1661,        4,         3,      2,      2003,       2,             14.3,        7.9,           3.6,                 13.5,         1.06,            1,           1,    9886762
     1719,        1,         1,      2,      2014,       2,             27.0,        9.4,           7.7,                 12.2,         0.95,            1,           0,   14349242
     3644,        5,         2,      3,      1993,       0,              2.7,        5.2,           1.3,                  7.5,         0.9 ,            1,           1,    4775580
