Loan_ID,Customer_Age,Gender,Marital_Status,Dependents,Education_Level,Employment_Type,Annual_Income,Credit_Score,Loan_Amount,Loan_Term_Months,Property_Area,Existing_Loan,Loan_Approval_Status,Application_Date,Last_Payment_Date,Interest_Rate,Number_of_Payments,Account_Balance,Contact_Method
L1000  ,         59.0, Male  ,               ,        1.0, High School    ,                ,      146114.0,        815.0,     18403.0,             12.0, Urban        , Yes          ,                     , 2025-11-24      , 2025-10-02       ,              ,                   ,          1404.0, 
L1001  ,         49.0, Female, Single        ,        1.0, Graduate       , Unemployed     ,       81135.0,        846.0,     37097.0,             24.0, Urban        , No           , Approved            , 2025-02-27      , 2025-03-05       ,         11.0 ,                   ,         41943.0, Branch
L1002  ,         35.0, Male  , Single        ,        3.0, High School    ,                ,       70108.0,        491.0,     18121.0,             12.0, Urban        , No           , Rejected            , 2025-01-13      , 2025-07-13       ,         12.08,               37.0,                , Branch
L1003  ,         63.0, Female, Divorced      ,           , Graduate       , Salaried       ,      132296.0,        348.0,     15966.0,                 , Rural        ,              , Approved            , 2025-05-21      , 2025-02-10       ,         12.39,               19.0,         30189.0, Branch
L1004  ,         28.0, Male  , Single        ,        2.0, Graduate       , Salaried       ,      114179.0,             ,     38621.0,             60.0, Rural        , No           ,                     , 2025-05-06      ,                  ,         10.53,               39.0,         13763.0, Phone
L1005  ,         41.0, Female, Single        ,        0.0, Postgraduate   , Unemployed     ,              ,        316.0,     33312.0,             12.0, Urban        , No           , Rejected            ,                 , 2025-05-31       ,          7.51,               39.0,         19384.0, Phone
L1006  ,         59.0, Male  ,               ,           , Graduate       , Self-employed  ,              ,        471.0,     27677.0,             60.0, Rural        , Yes          , Approved            , 2025-03-13      , 2025-11-18       ,              ,               48.0,         33606.0, Phone
L1007  ,         39.0, Male  , Divorced      ,        4.0, Postgraduate   , Salaried       ,       43328.0,        519.0,     36289.0,             60.0, Urban        , No           , Approved            , 2025-02-22      , 2025-11-13       ,         10.72,                   ,         10860.0, 
L1008  ,         43.0, Female, Single        ,        3.0,                ,                ,      139181.0,        457.0,            ,             60.0,              , Yes          , Approved            , 2025-12-13      , 2025-07-05       ,          8.97,               47.0,         39757.0, Phone
L1009  ,         31.0, Male  , Single        ,        4.0, High School    , Salaried       ,      111412.0,             ,     47675.0,             36.0, Semiurban    , Yes          , Approved            , 2025-10-07      , 2025-10-23       ,          7.89,               38.0,         16106.0, 
L1010  ,         31.0,       , Divorced      ,        4.0, High School    , Salaried       ,      106831.0,        345.0,      9777.0,             48.0, Rural        , Yes          , Rejected            , 2025-02-14      , 2025-04-09       ,         11.75,               28.0,         24574.0, Phone
L1011  ,         44.0, Female, Divorced      ,        2.0,                , Self-employed  ,       23987.0,             ,     34749.0,             24.0, Urban        , Yes          , Rejected            , 2025-10-30      , 2025-12-27       ,          5.39,               20.0,         24524.0, Branch
L1012  ,         56.0, Female, Divorced      ,        4.0,                , Unemployed     ,              ,        817.0,            ,                 , Urban        ,              , Approved            , 2025-08-05      , 2025-02-05       ,          8.44,               44.0,          4636.0, Branch
L1013  ,         60.0,       ,               ,        3.0, High School    , Unemployed     ,       42399.0,        398.0,      7491.0,             60.0, Rural        , Yes          , Rejected            , 2025-01-17      , 2025-01-24       ,          4.59,                   ,         11916.0, Branch
L1014  ,         44.0, Female, Divorced      ,        4.0, Graduate       , Self-employed  ,      148391.0,        336.0,     32236.0,             12.0,              ,              , Approved            , 2025-01-16      , 2025-12-05       ,          8.25,               24.0,          5809.0, Branch
L1015  ,         23.0,       , Divorced      ,           ,                , Self-employed  ,       66214.0,        579.0,     19599.0,                 , Semiurban    , No           , Rejected            , 2025-02-17      ,                  ,              ,               39.0,         33201.0, Phone
L1016  ,         42.0, Female, Single        ,        2.0, Graduate       , Unemployed     ,      119522.0,        648.0,     24508.0,             48.0, Urban        , Yes          , Approved            ,                 , 2025-05-29       ,          5.45,               59.0,         14456.0, Email
L1017  ,         22.0, Female, Divorced      ,           , Postgraduate   , Unemployed     ,      106416.0,             ,            ,             60.0, Rural        , Yes          , Approved            , 2025-04-30      , 2025-02-10       ,          5.44,                   ,         49212.0, Phone
L1018  ,         44.0,       , Single        ,        1.0, High School    , Self-employed  ,       90271.0,        601.0,     26606.0,             12.0, Semiurban    , No           , Approved            ,                 , 2025-04-30       ,          9.69,               24.0,         39765.0, Email
L1019  ,         64.0, Female, Married       ,        1.0, High School    , Salaried       ,       64064.0,        480.0,     26699.0,             48.0,              , No           , Approved            , 2025-11-05      , 2025-02-21       ,         10.47,               57.0,         35816.0, Branch
